id,name,symptoms,description,treatments,medications
1,Common Cold,"Runny nose;Sore throat;Cough;Congestion;Mild body aches","A common viral infection of the nose and throat.","Rest;Hydration;Over-the-counter cold remedies","Acetaminophen (Tylenol);Ibuprofen (Advil);Decongestants"
2,Influenza (Flu),"Fever;Chills;Muscle aches;Cough;Congestion;Runny nose;Headache;Fatigue","A viral infection that attacks your respiratory system.","Rest;Fluids;Antiviral drugs","Oseltamivir (Tamiflu);Zanamivir (Relenza)"
3,Migraine,"Throbbing pain;Sensitivity to light/sound;Nausea;Visual changes","A headache of varying intensity, often accompanied by nausea and sensitivity to light and sound.","Rest in a dark room;Stress management;Hydration","Sumatriptan;Rizatriptan;Ibuprofen;Excedrin Migraine"
4,Eczema (Atopic Dermatitis),"Dry skin;Itching;Red to brownish-gray patches;Small, raised bumps","A condition that makes your skin red and itchy.","Moisturize regularly;Avoid harsh soaps;Apply medicated creams","Hydrocortisone cream;Corticosteroids;Antihistamines"
5,Asthma,"Shortness of breath;Chest tightness or pain;Wheezing;Coughing attacks","A condition in which your airways narrow and swell and may produce extra mucus.","Avoid triggers;Inhalers","Albuterol;Levalbuterol;Fluticasone;Budesonide"
6,Diabetes Type 2,"Increased thirst;Frequent urination;Increased hunger;Fatigue;Blurred vision","A chronic condition that affects the way the body processes blood sugar (glucose).","Healthy eating;Regular exercise;Diabetes medication;Insulin therapy","Metformin;Sulfonylureas;Meglitinides;Insulin"
7,Hypertension (High Blood Pressure),"Headaches;Shortness of breath;Nosebleeds","A common condition in which the long-term force of the blood against your artery walls is high enough that it may eventually cause health problems.","Healthy diet with less salt;Regular physical activity;Maintain a healthy weight","Diuretics;Beta-blockers;ACE inhibitors;Calcium channel blockers"
8,Gastroesophageal Reflux Disease (GERD),"Burning sensation in your chest (heartburn);Chest pain;Difficulty swallowing;Regurgitation of food or sour liquid","A chronic digestive disease. GERD occurs when stomach acid or, occasionally, stomach content, flows back into your food pipe (esophagus).","lose weight;Avoid foods that trigger heartburn;Eat smaller meals","Antacids;H-2-receptor blockers;Proton pump inhibitors"
9,Pneumonia,"Chest pain when you breathe or cough;Confusion or changes in mental awareness;Cough which may produce phlegm;Fatigue;Fever, sweating and shaking chills","An infection that inflames the air sacs in one or both lungs. The air sacs may fill with fluid or pus.","Antibiotics;Cough medicine;Fever reducers/pain relievers","Azithromycin;Clarithromycin;Levofloxacin;Amoxicillin"
10,Urinary Tract Infection (UTI),"Strong, persistent urge to urinate;Burning sensation when urinating;Passing frequent, small amounts of urine;Urine that appears cloudy","An infection in any part of your urinary system — your kidneys, ureters, bladder and urethra.","Drink plenty of water;Antibiotics","Trimethoprim/sulfamethoxazole;Fosfomycin;Nitrofurantoin;Cephalexin"
11,Acne,"Whiteheads;Blackheads;Small red, tender bumps (papules);Pimples (pustules)","A skin condition that occurs when your hair follicles become plugged with oil and dead skin cells.","Wash face regularly;Medicated creams","Retinoids;Antibiotics;Salicylic acid;Benzoyl peroxide"
12,Allergies,"Sneezing;Itching of the nose, eyes or roof of the mouth;Runny, stuffy nose;Watery, red or swollen eyes (conjunctivitis)","A condition in which the immune system reacts abnormally to a foreign substance.","Avoid allergens;Medications","Antihistamines;Decongestants;Corticosteroids;Immunotherapy"
13,Anemia,"Fatigue;Weakness;Pale or yellowish skin;Irregular heartbeats;Shortness of breath","A condition in which you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues.","Iron supplements;Vitamin supplements;Treating underlying cause","Iron ferrous sulfate;Vitamin B-12 supplements;Folic acid supplements"
14,Arthritis,"Pain;Stiffness;Swelling;Redness;Decreased range of motion","Inflammation of one or more of your joints.","Exercise;Weight loss;Medications;Surgery","NSAIDs;Counterirritants;Disease-modifying antirheumatic drugs (DMARDs);Corticosteroids"
15,Bronchitis,"Cough;Production of mucus (sputum), which can be clear, white, yellowish-gray or green in color;Fatigue;Shortness of breath","Inflammation of the lining of your bronchial tubes, which carry air to and from your lungs.","Rest;Fluids;Humidifier","Cough suppressants;Bronchodilators;Anti-inflammatories"
16,Conjunctivitis (Pink Eye),"Redness in the inner eyelid and white of the eye;Itchiness;Gritty feeling;Discharge that forms a crust","Inflammation or infection of the transparent membrane (conjunctiva) that lines your eyelid and covers the white part of your eyeball.","Compresses;Eye drops","Antibiotic eye drops;Antihistamine eye drops;Artificial tears"
17,Depression,"Feelings of sadness, tearfulness, emptiness or hopelessness;Angry outbursts;Loss of interest or pleasure in most or all normal activities","A mood disorder that causes a persistent feeling of sadness and loss of interest.","Psychotherapy;Medications","SSRIs (Fluoxetine, Sertraline);SNRIs;Atypical antidepressants"
18,Gastritis,"Gnawing or burning ache or pain (indigestion) in your upper abdomen that may become either worse or better with eating;Nausea;Vomiting","Inflammation of the protective lining of the stomach.","Smaller meals;Avoid irritating foods","Antacids;H-2 blockers;Proton pump inhibitors (PPIs)"
19,Chickenpox,"Itchy, blister-like rash;Fever;Tiredness;Loss of appetite","A highly contagious viral infection causing an itchy, blister-like rash on the skin.","Cool baths;Calamine lotion;Antihistamines","Acetaminophen;Acyclovir (in severe cases)"
20,Malaria,"Fever;Chills;General feeling of discomfort;Headache;Nausea and vomiting;Diarrhea;Abdominal pain;Muscle or joint pain","A disease caused by a plasmodium parasite, transmitted by the bite of infected mosquitoes.","Antimalarial drugs","Chloroquine;Artemisinin-based combination therapies (ACTs)"
21,Tuberculosis,"Persistent cough;Chest pain;Weight loss;Night sweats;Fever","A serious infectious disease that mainly affects the lungs.","Long-term antibiotics;Proper nutrition","Isoniazid;Rifampicin;Ethambutol;Pyrazinamide"
22,Dengue Fever,"High fever;Severe headache;Pain behind eyes;Joint and muscle pain;Rash","A mosquito-borne viral infection causing flu-like illness.","Fluid replacement;Pain relievers","Paracetamol;IV fluids"
23,Typhoid,"Sustained fever;Weakness;Stomach pain;Constipation or diarrhea;Loss of appetite","A bacterial infection spread through contaminated food and water.","Antibiotics;Hydration","Ciprofloxacin;Azithromycin;Ceftriaxone"
24,Hepatitis A,"Fatigue;Nausea;Abdominal pain;Loss of appetite;Jaundice","A viral liver disease spread through contaminated food or water.","Rest;Hydration","No specific medication;Supportive care"
25,Hepatitis B,"Abdominal pain;Dark urine;Joint pain;Weakness;Jaundice","A serious liver infection caused by hepatitis B virus.","Antiviral therapy;Regular monitoring","Tenofovir;Entecavir"
26,Hepatitis C,"Fatigue;Easy bruising;Poor appetite;Dark urine","A blood-borne viral infection that causes liver inflammation.","Antiviral drugs","Sofosbuvir;Ledipasvir"
27,COVID-19,"Fever;Dry cough;Loss of taste or smell;Fatigue;Breathing difficulty","A contagious respiratory illness caused by coronavirus.","Isolation;Supportive care","Paracetamol;Antivirals"
28,Cholera,"Severe diarrhea;Dehydration;Vomiting;Leg cramps","An acute diarrheal disease caused by contaminated water.","Oral rehydration;Antibiotics","Doxycycline;Azithromycin"
29,Appendicitis,"Sudden abdominal pain;Nausea;Vomiting;Loss of appetite","Inflammation of the appendix requiring urgent treatment.","Surgery;Antibiotics","Ceftriaxone;Metronidazole"
30,Sinusitis,"Facial pain;Nasal congestion;Thick nasal discharge;Headache","Inflammation of sinus cavities.","Steam inhalation;Medications","Amoxicillin;Nasal corticosteroids"
31,Epilepsy,"Seizures;Temporary confusion;Loss of consciousness","A neurological disorder marked by recurrent seizures.","Long-term medication","Phenytoin;Valproate;Levetiracetam"
32,Parkinson’s Disease,"Tremor;Slow movement;Muscle stiffness;Balance problems","A progressive nervous system disorder affecting movement.","Medications;Physical therapy","Levodopa;Carbidopa"
33,Alzheimer’s Disease,"Memory loss;Confusion;Difficulty thinking;Behavior changes","A progressive disease that destroys memory and thinking skills.","Cognitive therapy;Medications","Donepezil;Memantine"
34,Osteoporosis,"Bone weakness;Back pain;Fractures","A condition that weakens bones, making them fragile.","Calcium intake;Exercise","Bisphosphonates;Calcium supplements"
35,Gout,"Severe joint pain;Swelling;Redness","A form of arthritis caused by uric acid buildup.","Diet control;Medications","Allopurinol;Colchicine"
36,Psoriasis,"Red patches;Silvery scales;Dry skin;Itching","A chronic autoimmune skin condition.","Topical treatments;Phototherapy","Corticosteroids;Vitamin D analogues"
37,Thyroid Hypothyroidism,"Weight gain;Fatigue;Cold intolerance;Dry skin","A condition where thyroid produces insufficient hormones.","Hormone replacement","Levothyroxine"
38,Thyroid Hyperthyroidism,"Weight loss;Rapid heartbeat;Nervousness;Sweating","Excess production of thyroid hormones.","Medications;Radioactive iodine","Methimazole;Propylthiouracil"
39,Polio,"Muscle weakness;Fatigue;Fever","A viral disease that can affect nerves and lead to paralysis.","Vaccination;Supportive care","No cure;Preventive vaccines"
40,Leprosy,"Skin lesions;Numbness;Muscle weakness","A chronic infectious disease affecting skin and nerves.","Multi-drug therapy","Dapsone;Rifampicin;Clofazimine"
41,Measles,"High fever;Cough;Runny nose;Rash","A highly contagious viral disease.","Supportive care;Vaccination","Vitamin A;Paracetamol"
42,Mumps,"Swollen salivary glands;Fever;Headache","A viral infection affecting salivary glands.","Rest;Hydration","Pain relievers"
43,Rabies,"Fever;Headache;Anxiety;Hydrophobia","A fatal viral disease transmitted through animal bites.","Immediate vaccination","Rabies vaccine;Immunoglobulin"
44,Whooping Cough,"Severe coughing fits;Vomiting;Exhaustion","A contagious respiratory disease.","Antibiotics","Azithromycin;Clarithromycin"
45,Food Poisoning,"Nausea;Vomiting;Diarrhea;Stomach cramps","Illness caused by contaminated food.","Hydration;Rest","Oral rehydration salts"
46,Anxiety Disorder,"Excessive worry;Restlessness;Rapid heartbeat;Sweating;Difficulty concentrating","A mental health condition characterized by excessive fear or anxiety.","Psychotherapy;Relaxation techniques;Lifestyle changes","SSRIs;Benzodiazepines;Buspirone"
47,Insomnia,"Difficulty falling asleep;Frequent awakenings;Daytime fatigue;Irritability","A sleep disorder that makes it hard to fall or stay asleep.","Sleep hygiene;Stress management","Melatonin;Zolpidem"
48,Obesity,"Excess body weight;Breathlessness;Joint pain;Fatigue","A condition involving excessive body fat that increases health risks.","Diet control;Physical activity;Behavior therapy","Orlistat;Liraglutide"
49,Peptic Ulcer Disease,"Burning stomach pain;Bloating;Heartburn;Nausea","Sores that develop on the lining of the stomach or small intestine.","Avoid irritants;Medications","Proton pump inhibitors;Antibiotics"
50,Pancreatitis,"Upper abdominal pain;Fever;Nausea;Vomiting","Inflammation of the pancreas.","Hospital care;Pain management","Pain relievers;IV fluids"
51,Kidney Stones,"Severe flank pain;Blood in urine;Nausea;Frequent urination","Hard deposits of minerals and salts in kidneys.","Hydration;Pain relief;Surgery","NSAIDs;Alpha blockers"
52,Chronic Kidney Disease,"Fatigue;Swelling of feet;Frequent urination;Loss of appetite","Gradual loss of kidney function over time.","Diet management;Dialysis","ACE inhibitors;Diuretics"
53,Liver Cirrhosis,"Fatigue;Easy bruising;Jaundice;Abdominal swelling","Chronic liver damage leading to scarring.","Avoid alcohol;Medications","Diuretics;Lactulose"
54,Heart Failure,"Shortness of breath;Swelling in legs;Fatigue;Rapid heartbeat","A condition where the heart cannot pump blood efficiently.","Lifestyle changes;Medications","ACE inhibitors;Beta blockers;Diuretics"
55,Coronary Artery Disease,"Chest pain;Shortness of breath;Fatigue","Narrowing or blockage of coronary arteries.","Lifestyle changes;Surgery","Statins;Aspirin;Beta blockers"
56,Stroke,"Sudden numbness;Confusion;Trouble speaking;Loss of balance","Interruption of blood supply to the brain.","Emergency care;Rehabilitation","Anticoagulants;Thrombolytics"
57,Multiple Sclerosis,"Vision problems;Muscle weakness;Coordination loss;Fatigue","A disease where immune system attacks nerve coverings.","Physical therapy;Medications","Interferon beta;Corticosteroids"
58,Lupus,"Joint pain;Skin rash;Fatigue;Fever","An autoimmune disease affecting multiple organs.","Immunosuppressive therapy","NSAIDs;Corticosteroids"
59,Celiac Disease,"Diarrhea;Weight loss;Abdominal pain;Bloating","An immune reaction to eating gluten.","Gluten-free diet","Vitamin supplements"
60,Heat Stroke,"High body temperature;Confusion;Rapid breathing;Nausea","A severe heat-related illness.","Cooling;Hydration","IV fluids"
61,Hypothermia,"Shivering;Slurred speech;Weak pulse;Confusion","Dangerously low body temperature.","Gradual warming","Warm IV fluids"
62,Vertigo,"Dizziness;Loss of balance;Nausea","A sensation of spinning or dizziness.","Balance therapy;Medications","Meclizine"
63,Tonsillitis,"Sore throat;Difficulty swallowing;Fever;Swollen tonsils","Inflammation of the tonsils.","Rest;Antibiotics","Penicillin;Amoxicillin"
64,Laryngitis,"Hoarseness;Weak voice;Dry throat","Inflammation of voice box.","Voice rest;Hydration","Pain relievers"
65,Hemorrhoids,"Rectal pain;Bleeding;Itching","Swollen veins in lower rectum or anus.","High-fiber diet;Medications","Topical creams;Pain relievers"
66,Irritable Bowel Syndrome,"Abdominal pain;Bloating;Diarrhea;Constipation","A common disorder affecting the large intestine.","Diet management;Stress reduction","Antispasmodics;Fiber supplements"
67,Ulcerative Colitis,"Abdominal pain;Bloody diarrhea;Fatigue;Weight loss","A chronic inflammatory bowel disease.","Anti-inflammatory drugs;Surgery","Aminosalicylates;Corticosteroids"
68,Crohn’s Disease,"Abdominal cramps;Diarrhea;Weight loss;Fatigue","An inflammatory bowel disease affecting digestive tract.","Diet control;Medications","Immunosuppressants;Biologics"
69,Glaucoma,"Eye pain;Blurred vision;Headache;Nausea","A group of eye conditions damaging optic nerve.","Eye drops;Surgery","Timolol;Latanoprost"
70,Cataract,"Blurred vision;Faded colors;Glare sensitivity","Clouding of the eye lens.","Surgery","No medication;Surgical treatment"
71,Otitis Media,"Ear pain;Hearing difficulty;Fever","Infection of the middle ear.","Antibiotics;Pain relief","Amoxicillin;Ibuprofen"
72,Otitis Externa,"Ear itching;Pain;Discharge","Inflammation of the outer ear canal.","Ear drops;Cleaning","Antibiotic ear drops"
73,Dehydration,"Dry mouth;Dizziness;Low urine output","Excessive loss of body fluids.","Fluid replacement","Oral rehydration salts"
74,Vitamin D Deficiency,"Bone pain;Muscle weakness;Fatigue","Low levels of vitamin D in the body.","Sun exposure;Supplements","Vitamin D supplements"
75,Vitamin B12 Deficiency,"Fatigue;Numbness;Memory problems","Lack of vitamin B12 affecting nerves and blood.","Diet correction;Supplements","Vitamin B12 injections"
76,Scabies,"Severe itching;Skin rash;Sores","A contagious skin infestation caused by mites.","Topical treatment","Permethrin cream"
77,Ringworm,"Circular rash;Itching;Redness","A fungal skin infection.","Antifungal treatment","Clotrimazole;Ketoconazole"
78,Athlete’s Foot,"Itchy feet;Cracking skin;Burning sensation","A fungal infection of the feet.","Foot hygiene;Medications","Terbinafine;Clotrimazole"
79,Iron Deficiency Anemia,"Fatigue;Pale skin;Shortness of breath","Low iron levels leading to reduced red blood cells.","Iron supplementation","Ferrous sulfate"
80,Sickle Cell Disease,"Pain episodes;Fatigue;Swelling of hands and feet","A genetic blood disorder affecting hemoglobin.","Pain management;Hydration","Hydroxyurea"
81,Thalassemia,"Fatigue;Weakness;Pale skin","An inherited blood disorder affecting hemoglobin.","Blood transfusion;Supplements","Iron chelators"
82,Deep Vein Thrombosis,"Leg pain;Swelling;Redness","Formation of blood clot in deep veins.","Anticoagulant therapy","Heparin;Warfarin"
83,Varicose Veins,"Swollen veins;Leg pain;Heaviness","Enlarged twisted veins usually in legs.","Compression therapy;Surgery","Pain relievers"
84,Chronic Fatigue Syndrome,"Extreme fatigue;Poor concentration;Sleep problems","A disorder characterized by extreme tiredness.","Lifestyle management","Pain relievers"
85,Motion Sickness,"Nausea;Dizziness;Vomiting","A disturbance of balance caused by motion.","Avoid triggers;Medications","Dimethindene;Meclizine"
86,Seasonal Affective Disorder,"Low mood;Fatigue;Sleep changes;Loss of interest","A type of depression related to seasonal changes.","Light therapy;Psychotherapy","Antidepressants"
87,Obsessive Compulsive Disorder,"Repetitive thoughts;Compulsive behaviors;Anxiety","A mental disorder with unwanted recurring thoughts.","Psychotherapy;Medications","SSRIs"
88,Bipolar Disorder,"Mood swings;Mania;Depression;Sleep problems","A mental health condition causing extreme mood changes.","Mood stabilizers;Therapy","Lithium;Valproate"
89,Schizophrenia,"Hallucinations;Delusions;Disorganized thinking","A chronic brain disorder affecting perception.","Psychotherapy;Medications","Antipsychotics"
90,Autism Spectrum Disorder,"Social difficulties;Repetitive behaviors;Communication challenges","A developmental disorder affecting behavior and communication.","Behavioral therapy","No specific medication"
91,Attention Deficit Hyperactivity Disorder,"Inattention;Hyperactivity;Impulsiveness","A neurodevelopmental disorder affecting focus.","Behavior therapy;Medications","Methylphenidate"
92,Dyslexia,"Reading difficulty;Spelling problems;Slow learning","A learning disorder affecting reading ability.","Educational support","No medication"
93,Cerebral Palsy,"Muscle stiffness;Poor coordination;Movement difficulty","A disorder affecting movement and posture.","Physical therapy","Muscle relaxants"
94,Muscular Dystrophy,"Muscle weakness;Difficulty walking;Fatigue","A genetic disorder causing muscle degeneration.","Physical therapy;Supportive care","Corticosteroids"
95,ALS,"Muscle weakness;Speech difficulty;Breathing problems","A progressive nervous system disease.","Supportive care","Riluzole"
96,Huntington’s Disease,"Involuntary movements;Mood changes;Memory loss","A genetic brain disorder.","Supportive therapy","Antipsychotics"
97,Peripheral Neuropathy,"Numbness;Tingling;Pain in limbs","Damage to peripheral nerves.","Treat underlying cause","Pain relievers"
98,Trigeminal Neuralgia,"Severe facial pain;Electric shock sensation","A chronic pain condition affecting facial nerves.","Medications;Surgery","Carbamazepine"
99,Sciatica,"Lower back pain;Leg pain;Numbness","Pain affecting sciatic nerve.","Physical therapy;Medications","NSAIDs"
100,Herniated Disc,"Back pain;Numbness;Weakness","A disc problem in the spine.","Physical therapy;Surgery","Pain relievers"
101,Scoliosis,"Uneven shoulders;Back pain;Spine curvature","Abnormal sideways curvature of the spine.","Bracing;Surgery","Pain relievers"
102,Osteoarthritis,"Joint pain;Stiffness;Reduced movement","Degeneration of joint cartilage.","Exercise;Medications","NSAIDs"
103,Rheumatoid Arthritis,"Joint pain;Swelling;Morning stiffness","An autoimmune joint disease.","Immunosuppressive therapy","DMARDs"
104,Bursitis,"Joint pain;Swelling;Tenderness","Inflammation of bursae near joints.","Rest;Medications","NSAIDs"
105,Tendinitis,"Pain near joints;Swelling;Stiffness","Inflammation of tendons.","Rest;Physical therapy","Pain relievers"
106,Carpal Tunnel Syndrome,"Hand numbness;Weak grip;Pain","Compression of median nerve in wrist.","Wrist splint;Surgery","NSAIDs"
107,Fibromyalgia,"Widespread pain;Fatigue;Sleep problems","A disorder causing musculoskeletal pain.","Exercise;Stress management","Pain relievers"
108,Endometriosis,"Pelvic pain;Painful periods;Infertility","Growth of tissue outside uterus.","Hormone therapy;Surgery","Pain relievers"
109,Polycystic Ovary Syndrome,"Irregular periods;Weight gain;Acne","A hormonal disorder in women.","Lifestyle changes;Medications","Metformin"
110,Menopause,"Hot flashes;Mood swings;Sleep issues","Natural end of menstrual cycles.","Hormone therapy","Estrogen therapy"
111,Erectile Dysfunction,"Difficulty maintaining erection;Low libido","Inability to maintain erection.","Lifestyle changes;Medications","Sildenafil"
112,Prostate Enlargement,"Frequent urination;Weak urine flow","Enlargement of prostate gland.","Medications;Surgery","Alpha blockers"
113,Urinary Incontinence,"Urine leakage;Frequent urination","Loss of bladder control.","Pelvic exercises;Medications","Anticholinergics"
114,Ovarian Cyst,"Pelvic pain;Bloating;Irregular periods","Fluid-filled sacs in ovaries.","Monitoring;Surgery","Pain relievers"
115,Testicular Torsion,"Sudden testicular pain;Swelling;Nausea","Twisting of spermatic cord.","Emergency surgery","Pain relievers"
116,Sexually Transmitted Infection,"Genital pain;Discharge;Sores","Infections spread through sexual contact.","Antibiotics;Antivirals","Azithromycin"
117,HIV Infection,"Fatigue;Weight loss;Frequent infections","Virus attacking immune system.","Antiretroviral therapy","ART drugs"
118,AIDS,"Severe infections;Weight loss;Weak immunity","Advanced stage of HIV infection.","Antiretroviral therapy","ART drugs"
119,Oral Thrush,"White mouth patches;Soreness","Fungal infection in mouth.","Antifungal treatment","Nystatin"
120,Gingivitis,"Bleeding gums;Bad breath;Swelling","Inflammation of gums.","Oral hygiene","Antiseptic mouthwash"
121,Periodontitis,"Loose teeth;Gum recession;Pain","Advanced gum disease.","Dental treatment","Antibiotics"
122,Tooth Abscess,"Severe tooth pain;Swelling;Fever","Pus accumulation in tooth.","Dental drainage;Antibiotics","Amoxicillin"
123,TMJ Disorder,"Jaw pain;Clicking sound;Headache","Disorder of jaw joint.","Jaw exercises;Medications","Pain relievers"
124,Astigmatism,"Blurred vision;Eye strain;Headache","Irregular curvature of eye lens.","Corrective lenses","No medication"
125,Myopia,"Difficulty seeing far objects;Eye strain","Nearsightedness.","Corrective lenses","No medication"
126,Hyperopia,"Difficulty seeing near objects;Eye strain","Farsightedness.","Corrective lenses","No medication"
127,Color Blindness,"Difficulty distinguishing colors","A genetic vision condition.","Supportive care","No medication"
128,Retinal Detachment,"Sudden vision loss;Flashes of light","Separation of retina from eye.","Emergency surgery","No medication"
129,Macular Degeneration,"Blurred central vision;Vision loss","Age-related eye disease.","Vision aids;Medications","Anti-VEGF injections"
130,Night Blindness,"Poor vision in low light","Difficulty seeing at night.","Vitamin supplementation","Vitamin A"
131,Ear Wax Impaction,"Ear fullness;Hearing loss","Build-up of ear wax.","Ear cleaning","Ear drops"
132,Hearing Loss,"Difficulty hearing;Ringing in ears","Partial or complete hearing loss.","Hearing aids","No medication"
133,Tinnitus,"Ringing in ears;Buzzing sound","Perception of sound without source.","Sound therapy","No medication"
134,Nasal Polyps,"Blocked nose;Loss of smell","Noncancerous growths in nose.","Medications;Surgery","Corticosteroids"
135,Deviated Nasal Septum,"Nasal congestion;Breathing difficulty","Displacement of nasal septum.","Surgery","No medication"
136,Allergic Rhinitis,"Sneezing;Runny nose;Itchy eyes","Allergic nasal inflammation.","Avoid allergens;Medications","Antihistamines"
137,Chronic Sinus Infection,"Facial pain;Nasal blockage;Headache","Long-term sinus inflammation.","Medications;Surgery","Antibiotics"
138,Bronchial Asthma,"Wheezing;Chest tightness;Cough","Chronic airway inflammation.","Inhalers","Bronchodilators"
139,Chronic Obstructive Pulmonary Disease,"Shortness of breath;Chronic cough","Progressive lung disease.","Smoking cessation;Medications","Bronchodilators"
140,Interstitial Lung Disease,"Dry cough;Breathlessness;Fatigue","Scarring of lung tissue.","Medications;Oxygen therapy","Corticosteroids"
141,Lung Cancer,"Persistent cough;Weight loss;Chest pain","Cancer of lung tissue.","Chemotherapy;Surgery","Chemotherapy drugs"
142,Throat Cancer,"Hoarseness;Difficulty swallowing;Neck lump","Cancer affecting throat.","Radiation;Surgery","Chemotherapy drugs"
143,Mouth Cancer,"Mouth sores;Pain;Difficulty chewing","Cancer of oral cavity.","Surgery;Radiation","Chemotherapy drugs"
144,Stomach Cancer,"Weight loss;Abdominal pain;Nausea","Cancer of stomach lining.","Chemotherapy;Surgery","Chemotherapy drugs"
145,Colon Cancer,"Blood in stool;Abdominal pain;Weight loss","Cancer of large intestine.","Surgery;Chemotherapy","Chemotherapy drugs"
146,Liver Cancer,"Abdominal swelling;Weight loss;Fatigue","Cancer originating in liver.","Chemotherapy;Transplant","Targeted therapy"
147,Pancreatic Cancer,"Upper abdominal pain;Weight loss;Jaundice","Cancer of pancreas.","Chemotherapy","Chemotherapy drugs"
148,Breast Cancer,"Breast lump;Skin changes;Pain","Cancer forming in breast tissue.","Surgery;Radiation","Chemotherapy drugs"
149,Cervical Cancer,"Pelvic pain;Abnormal bleeding","Cancer of cervix.","Radiation;Chemotherapy","Chemotherapy drugs"
150,Ovarian Cancer,"Abdominal bloating;Pelvic pain","Cancer of ovaries.","Surgery;Chemotherapy","Chemotherapy drugs"
151,Prostate Cancer,"Difficulty urinating;Bone pain","Cancer of prostate gland.","Radiation;Surgery","Hormone therapy"
152,Testicular Cancer,"Testicular lump;Pain","Cancer of testicles.","Surgery;Chemotherapy","Chemotherapy drugs"
153,Skin Cancer,"Unusual moles;Skin lesions","Cancer affecting skin cells.","Surgery","Topical therapy"
154,Leukemia,"Fatigue;Frequent infections;Bruising","Cancer of blood-forming tissues.","Chemotherapy","Chemotherapy drugs"
155,Lymphoma,"Swollen lymph nodes;Weight loss","Cancer of lymphatic system.","Chemotherapy","Chemotherapy drugs"
